Countries,Coal,Oil,Gas,fossil fuels(MJ)
Mauritania,#N/A,#N/A,#N/A,0
Mauritius,#N/A,#N/A,#N/A,0
Mexico,35119000000000,6273970078311,246734473970891,288127444049202
"Micronesia, Fed. Sts.",#N/A,#N/A,#N/A,0
Moldova,#N/A,#N/A,#N/A,0
Monaco,#N/A,#N/A,#N/A,0
Mongolia,73080000000000,#N/A,#N/A,73080000000000
Montenegro,#N/A,#N/A,#N/A,0
Morocco,#N/A,#N/A,#N/A,0
Mozambique,#N/A,#N/A,#N/A,0
Myanmar,#N/A,#N/A,1559260000000000,1559260000000000
Namibia,#N/A,#N/A,#N/A,0
Nauru,#N/A,#N/A,#N/A,0
Nepal,#N/A,#N/A,#N/A,0
Netherlands,#N/A,#N/A,783444522228329,783444522228329
New Caledonia,#N/A,#N/A,#N/A,0
New Zealand,219675000000000,#N/A,#N/A,219675000000000
Nicaragua,#N/A,#N/A,#N/A,0
Niger,#N/A,#N/A,#N/A,0
Nigeria,#N/A,29731212385965,7135710000000000,7165440000000000
Northern Mariana Islands,#N/A,#N/A,#N/A,0
Norway,#N/A,6444389836714,2148260000000000,2154700000000000
Oman,#N/A,4288383036635,886987169814151,891275552850786
Pakistan,88856000000000,#N/A,488340437697721,577196437697721
Palau,#N/A,#N/A,#N/A,0
Panama,#N/A,#N/A,#N/A,0
Papua New Guinea,#N/A,#N/A,243281130331232,243281130331232
Paraguay,#N/A,#N/A,#N/A,0
Peru,#N/A,665381464422,468424690102632,469090071567054
Philippines,#N/A,#N/A,#N/A,0
Poland,767891000000000,#N/A,85029886908154,852920886908154
Portugal,#N/A,#N/A,#N/A,0
Puerto Rico,#N/A,#N/A,#N/A,0
Qatar,#N/A,15565480972686,3.29667E+016,3.29823E+016
Romania,8439000000000,469954194407,136831332635092,145740286829499
Russian Federation,#N/A,#N/A,#N/A,0
Rwanda,#N/A,#N/A,#N/A,0
Samoa,#N/A,#N/A,#N/A,0
San Marino,#N/A,#N/A,#N/A,0
Sao Tome and Principe,#N/A,#N/A,#N/A,0
Saudi Arabia,#N/A,240518985777472,7866210000000000,8106730000000001
Senegal,#N/A,#N/A,#N/A,0
Serbia,217906000000000,#N/A,#N/A,217906000000000
Seychelles,#N/A,#N/A,#N/A,0
Sierra Leone,#N/A,#N/A,#N/A,0
Singapore,#N/A,#N/A,#N/A,0
Sint Maarten (Dutch part),#N/A,#N/A,#N/A,0
Slovak Republic,#N/A,#N/A,#N/A,0
Slovenia,#N/A,#N/A,#N/A,0
Solomon Islands,#N/A,#N/A,#N/A,0
Somalia,#N/A,#N/A,#N/A,0
South Africa,286897000000000,#N/A,#N/A,286897000000000
South Sudan,#N/A,2778395411606,#N/A,2778395411606
Spain,34423000000000,#N/A,#N/A,34423000000000
Sri Lanka,#N/A,#N/A,#N/A,0
St. Kitts and Nevis,#N/A,#N/A,#N/A,0
St. Lucia,#N/A,#N/A,#N/A,0
St. Martin (French part),#N/A,#N/A,#N/A,0
St. Vincent and the Grenadines,#N/A,#N/A,#N/A,0
Sudan,#N/A,1190740890688,#N/A,1190740890688
Suriname,#N/A,#N/A,#N/A,0
Sweden,#N/A,#N/A,#N/A,0
Switzerland,#N/A,#N/A,#N/A,0
Syrian Arab Republic,#N/A,#N/A,#N/A,0
Tajikistan,#N/A,#N/A,#N/A,0
Tanzania,#N/A,#N/A,#N/A,0
Thailand,30827000000000,228194376742,250776000611231,281831194987974
Timor-Leste,#N/A,#N/A,#N/A,0
Togo,#N/A,#N/A,#N/A,0
Tonga,#N/A,#N/A,#N/A,0
Trinidad and Tobago,#N/A,193932605064,413188022295730,413381954900794
Tunisia,#N/A,325092392718,#N/A,325092392718
Turkey,334254000000000,#N/A,#N/A,334254000000000
Turkmenistan,#N/A,483473424658,2.60113E+016,2.60118E+016
Turks and Caicos Islands,#N/A,#N/A,#N/A,0
Tuvalu,#N/A,#N/A,#N/A,0
Uganda,#N/A,#N/A,#N/A,0
Ukraine,996875000000000,#N/A,1456650000000000,2453530000000000
United Arab Emirates,#N/A,76328118349475,7927570000000000,8003900000000000
United Kingdom,841000000000,1960753333333,249597649313789,252399402647123
United States,7256350000000000,42915740793483,1.58694E+016,2.31687E+016
Uruguay,#N/A,#N/A,#N/A,0
Uzbekistan,39875000000000,478638690411,1.61594E+015,1656290000000000
Vanuatu,#N/A,#N/A,#N/A,0
"Venezuela, RB",#N/A,#N/A,#N/A,0
Vietnam,97440000000000,3497560000000,862246424902182,963183984902182
Virgin Islands (U.S.),#N/A,#N/A,#N/A,0
West Bank and Gaza,#N/A,#N/A,#N/A,0
"Yemen, Rep.",#N/A,#N/A,#N/A,0
Zambia,#N/A,#N/A,#N/A,0
Zimbabwe,14558000000000,#N/A,#N/A,14558000000000
